,lat_0,lon_0,airport_name_0,airport_lat_0,airport_lon_0,vicinity_0,lat_1,lon_1,airport_name_1,airport_lat_1,airport_lon_1,vicinity_1,lat_2,lon_2,airport_name_2,airport_lat_2,airport_lon_2,vicinity_2,lat_3,lon_3,airport_name_3,airport_lat_3,airport_lon_3,vicinity_3,lat_4,lon_4,airport_name_4,airport_lat_4,airport_lon_4,vicinity_4,lat_5,lon_5,airport_name_5,airport_lat_5,airport_lon_5,vicinity_5,lat_6,lon_6,airport_name_6,airport_lat_6,airport_lon_6,vicinity_6,lat_7,lon_7,airport_name_7,airport_lat_7,airport_lon_7,vicinity_7,lat_8,lon_8,airport_name_8,airport_lat_8,airport_lon_8,vicinity_8,lat_9,lon_9,airport_name_9,airport_lat_9,airport_lon_9,vicinity_9,lat_10,lon_10,airport_name_10,airport_lat_10,airport_lon_10,vicinity_10,lat_11,lon_11,airport_name_11,airport_lat_11,airport_lon_11,vicinity_11,lat_12,lon_12,airport_name_12,airport_lat_12,airport_lon_12,vicinity_12,lat_13,lon_13,airport_name_13,airport_lat_13,airport_lon_13,vicinity_13,lat_14,lon_14,airport_name_14,airport_lat_14,airport_lon_14,vicinity_14,lat_15,lon_15,airport_name_15,airport_lat_15,airport_lon_15,vicinity_15,lat_16,lon_16,airport_name_16,airport_lat_16,airport_lon_16,vicinity_16,lat_17,lon_17,airport_name_17,airport_lat_17,airport_lon_17,vicinity_17,lat_18,lon_18,airport_name_18,airport_lat_18,airport_lon_18,vicinity_18,lat_19,lon_19,airport_name_19,airport_lat_19,airport_lon_19,vicinity_19
0,48.053889,-122.810556,0S9 CTAF 123.0,48.0535569,-122.8090602,Port Townsend,48.053889,-122.810556,Jefferson County International Airport,48.0576838,-122.8106263,"191 Airport Cutoff Road, Port Townsend",48.053889,-122.810556,Hadlock Airport,48.0345354,-122.7748893,Port Hadlock,48.053889,-122.810556,Sky Valley Airstrip Arprt-WA68,48.07958800000001,-122.840321,"405 Blossom Lane, Port Townsend",48.053889,-122.810556,Jefferson General Hospital Heliport,48.1055685,-122.78853,"Hospital Road, Port Townsend",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42.680278,-88.302222,Burbun VOR-DME BUU 114.5,42.6893313,-88.30178169999999,Burlington,42.680278,-88.302222,Burlington Municipal Airport (KBUU),42.6916736,-88.30523,"703 Airport Drive, Burlington",42.680278,-88.302222,Meisner Aircraft Inc.,42.6914998,-88.2961661,"703 Airport Drive, Burlington",42.680278,-88.302222,Aurora Memorial Hospital-Helipad,42.6725337,-88.28150699999999,"252 McHenry Street, Burlington",42.680278,-88.302222,Fletcher Airport-9WI8,42.6982461,-88.3631549,"1489 Spring Prairie Road, Burlington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30.191666,-103.210278,Pitcock Rosillos Mountain RANCH-09TS,30.2051688,-103.2446205,"Rosillos Mountain Ranch Rd, Marathon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25.750556,-80.152222,Port pomtoc. Miami,25.7721697,-80.1634055,"Port Boulevard, Miami",25.750556,-80.152222,Miami International Airport,25.77121899999999,-80.186892,"315 South Biscayne Boulevard, Miami",25.750556,-80.152222,Miami Heliport,25.7827549,-80.1762069,"0132310610040, Miami",25.750556,-80.152222,Miami Seaplane Base,25.7833583,-80.1774126,"1000 MacArthur Causeway, Miami",25.750556,-80.152222,International Place Heliport,25.7726057,-80.1914366,Miami,25.750556,-80.152222,Ferrari Express,25.7749014,-80.19293569999999,"36 Northeast 1st Street #1049, Miami",25.750556,-80.152222,Venetian Causeway Seaplane Base / Viking Airport / Embry-Riddle Seaplane Base,25.7902663,-80.1764926,"Venetian Causeway, Miami Beach",25.750556,-80.152222,Romeo LIMO,25.7940974,-80.1305399,"245 18th Street # 903, Miami Beach",25.750556,-80.152222,Miami Police Heliport,25.7781926,-80.19840339999999,Miami,25.750556,-80.152222,Keyes NDB MI 248,25.7906879,-80.1941453,"21 Northeast 16th Street, Miami",25.750556,-80.152222,Southeast Bank Operations Center Heliport,25.7820433,-80.2128262,Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35.945277,-83.956389,University of Tennessee Medical Center Heliport,35.9398478,-83.9432552,"1924 Alcoa Highway, Knoxville",35.945277,-83.956389,Skyranch Airport,35.8854378,-83.95704740000001,"3535 Alcoa Highway, Knoxville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,33.959167,-80.332223,Helipad,33.92334859999999,-80.34234599999999,"17 West Canal Street, Sumter",33.959167,-80.332223,Sumter NDB SMS,33.9908217,-80.36006019999999,Sumter,33.959167,-80.332223,Sumter Airport-Sms,33.9914028,-80.361346,"2945 Airport Road, Sumter",33.959167,-80.332223,Sumter CAP Squadron,33.99543999999999,-80.356594,"2945 Airport Road, Sumter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40.396944,-92.181667,Wood's Flying Services,40.4578119,-92.1712924,"Highway M, Memphis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,42.439444,-89.515278,Stearns Landing Strip,42.4452916,-89.5267834,Dakota,42.439444,-89.515278,Chester Wyss Airport-LL75,42.4256746,-89.4579428,"7747 East McConnell Road, Rock City",42.439444,-89.515278,Hillman Airport-LL91,42.4144209,-89.4567367,"204 Jackson Street, Rock City",42.439444,-89.515278,Chester Wyss Airport,42.42501470000001,-89.4501152,Rock City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,39.677223,-76.609444,RCMB Airfield,39.662007,-76.64659,"800 Stablers Church Road, Parkton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,34.856111,-92.081111,Franke Field,34.8528669,-92.0481994,"4284 Arkansas 294, Jacksonville",34.856111,-92.081111,Hospital Helipad,34.8727537,-92.1257361,"1432 Braden Street, Jacksonville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
