,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/2009 To 01/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Date,Facility,Region,State,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
01/2009,ABE ,AEA,PA,EN,Combined TRACON & Tower with Radar,343,"1,425",975,20,"2,763",0,2,18,1,21,0,50,"1,126",6,"1,182",0,204,232,13,449,"3,315",13,"3,328","7,273","7,743"
01/2009,ABI ,ASW,TX,CE,Combined TRACON & Tower with Radar,12,722,598,"1,023","2,355",1,4,8,24,37,0,156,"1,243",80,"1,479",0,187,130,8,325,"1,216","1,596","2,812","6,646","7,008"
01/2009,ABQ ,ASW,NM,WE,Combined TRACON & Tower with Radar,"5,693","1,814",847,653,"9,007",0,1,1,2,4,0,"1,044","1,659",959,"3,662",0,74,173,102,349,304,375,679,"13,348","13,701"
01/2009,ABY ,ASO,GA,ES,Federal Contract Tower,16,425,546,151,"1,138",0,0,4,0,4,0,26,630,100,756,0,0,16,11,27,472,626,"1,098","2,992","3,023"
01/2009,ACK ,ANE,MA,EN,Towers with Radar,0,"1,095",157,14,"1,266",0,0,0,0,0,0,"5,245",769,15,"6,029",0,0,0,0,0,34,2,36,"7,331","7,331"
01/2009,ACT ,ASW,TX,CE,Combined TRACON & Tower with Radar,1,453,475,116,"1,045",0,13,36,32,81,0,97,671,45,813,0,26,196,13,235,380,30,410,"2,268","2,584"
01/2009,ACY ,AEA,NJ,EN,Combined TRACON & Tower with Radar,701,231,883,"1,341","3,156",0,1,5,1,7,0,61,588,535,"1,184",0,18,24,9,51,920,"3,153","4,073","8,413","8,471"
01/2009,ADM ,ASW,OK,CE,Federal Contract Tower,0,0,98,6,104,0,0,2,0,2,0,0,"1,100",17,"1,117",0,0,70,0,70,832,47,879,"2,100","2,172"
01/2009,ADQ ,AAL,AK,WE,Federal Contract Tower,158,259,8,80,505,0,11,0,0,11,1,886,51,119,"1,057",0,159,12,8,179,33,"1,187","1,220","2,782","2,972"
01/2009,ADS ,ASW,TX,CE,Towers with Radar,11,742,"2,032",1,"2,786",132,74,101,2,309,0,108,"4,769",0,"4,877",0,189,696,3,888,"1,616",0,"1,616","9,279","10,476"
01/2009,ADW ,AEA,MD,EN,Towers with Radar,51,56,37,"2,103","2,247",2,13,12,7,34,0,2,210,481,693,0,0,856,120,976,"1,836","3,668","5,504","8,444","9,454"
01/2009,AEG ,ASW,NM,WE,Federal Contract Tower,0,9,506,14,529,0,0,0,0,0,0,57,"2,928",77,"3,062",0,2,28,1,31,"4,751",32,"4,783","8,374","8,405"
01/2009,AEX ,ASW,LA,CE,Federal Contract Tower,186,803,289,474,"1,752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,193",786,"1,979","3,731","3,731"
01/2009,AFW ,ASW,TX,CE,Towers with Radar,371,191,662,591,"1,815",1,5,33,0,39,0,43,"1,795",74,"1,912",0,160,798,10,968,"2,692",772,"3,464","7,191","8,198"
01/2009,AGC ,AEA,PA,CE,Towers with Radar,0,560,982,7,"1,549",5,14,20,10,49,3,599,590,22,"1,214",0,303,48,0,351,578,6,584,"3,347","3,747"
01/2009,AGS ,ASO,GA,ES,Combined TRACON & Tower with Radar,9,775,560,155,"1,499",0,12,84,3,99,0,2,241,40,283,0,15,52,6,73,124,41,165,"1,947","2,119"
