,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/2004 To 01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Date,Facility,Region,State,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
01/2004,ABE ,AEA,PA,EN,Towers with Radar,"1,537","1,756","1,593",151,"5,037",0,0,0,0,0,0,62,"1,382",2,"1,446",0,0,0,0,0,"1,741",68,"1,809","8,292","8,292"
01/2004,ABI ,ASW,TX,CE,Towers with Radar,8,905,693,800,"2,406",0,0,0,0,0,0,140,768,29,937,0,0,0,0,0,961,"1,548","2,509","5,852","5,852"
01/2004,ABQ ,ASW,NM,WE,Combined TRACON & Tower with Radar,"5,687","3,034","1,524",562,"10,807",0,0,0,0,0,212,636,"2,045",877,"3,770",0,0,0,0,0,197,561,758,"15,335","15,335"
01/2004,ABY ,ASO,GA,ES,Federal Contract Tower,5,480,714,73,"1,272",0,0,0,0,0,13,53,"1,067",195,"1,328",0,0,0,0,0,"1,394",874,"2,268","4,868","4,868"
01/2004,ACK ,ANE,MA,EN,Towers with Display (VFR),0,"1,215",181,11,"1,407",0,0,0,0,0,0,"4,974","1,153",44,"6,171",0,0,0,0,0,56,43,99,"7,677","7,677"
01/2004,ACT ,ASW,TX,CE,Towers with Radar,7,670,856,181,"1,714",0,0,0,0,0,2,190,913,82,"1,187",0,0,0,0,0,313,127,440,"3,341","3,341"
01/2004,ACY ,AEA,NJ,EN,Towers with Radar,"1,067",589,"1,034",945,"3,635",0,0,0,0,0,44,92,666,249,"1,051",0,0,0,0,0,"1,299","2,197","3,496","8,182","8,182"
01/2004,ADM ,ASW,OK,CE,Federal Contract Tower,0,4,219,68,291,0,0,0,0,0,0,5,495,45,545,0,0,0,0,0,"1,500",488,"1,988","2,824","2,824"
01/2004,ADQ ,AAL,AK,WE,Federal Contract Tower,137,205,32,63,437,0,0,0,0,0,31,471,81,143,726,0,0,0,0,0,97,"1,462","1,559","2,722","2,722"
01/2004,ADS ,ASW,TX,CE,Towers with Display (VFR),12,848,"3,124",1,"3,985",0,0,0,0,0,0,15,"4,620",1,"4,636",0,0,0,0,0,"1,652",0,"1,652","10,273","10,273"
01/2004,ADW ,AEA,MD,EN,Towers with Radar,15,1,56,"2,156","2,228",0,0,0,0,0,2,0,195,728,925,0,0,0,0,0,42,"1,752","1,794","4,947","4,947"
01/2004,AEX ,ASW,LA,CE,Federal Contract Tower,169,734,449,257,"1,609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,005",425,"2,430","4,039","4,039"
01/2004,AFW ,ASW,TX,CE,Towers with Display (VFR),390,212,696,558,"1,856",0,0,0,0,0,2,79,"1,060",54,"1,195",0,0,0,0,0,"2,258",752,"3,010","6,061","6,061"
01/2004,AGC ,AEA,PA,CE,Towers with Display (VFR),0,887,"1,501",11,"2,399",0,0,0,0,0,0,541,945,39,"1,525",0,0,0,0,0,699,52,751,"4,675","4,675"
01/2004,AGS ,ASO,GA,ES,Towers with Radar,313,588,774,129,"1,804",0,0,0,0,0,45,53,471,96,665,0,0,0,0,0,482,172,654,"3,123","3,123"
01/2004,AHN ,ASO,GA,ES,Federal Contract Tower,1,151,"1,029",26,"1,207",0,0,0,0,0,5,35,"1,315",85,"1,440",0,0,0,0,0,"2,833",88,"2,921","5,568","5,568"
01/2004,AKN ,AAL,AK,WE,Federal Contract Tower,53,263,4,31,351,0,0,0,0,0,35,764,124,37,960,0,0,0,0,0,83,110,193,"1,504","1,504"
01/2004,ALB ,AEA,NY,EN,Combined TRACON & Tower with Radar,"2,151","5,067",703,159,"8,080",0,0,0,0,0,0,108,746,61,915,0,0,0,0,0,699,215,914,"9,909","9,909"
01/2004,ALN ,AGL,IL,CE,Federal Contract Tower,0,15,734,14,763,0,0,0,0,0,2,57,"1,325",20,"1,404",0,0,0,0,0,"2,438",98,"2,536","4,703","4,703"
01/2004,ALO ,ACE,IA,CE,Towers with Radar,51,302,614,17,984,0,0,0,0,0,20,46,425,123,614,0,0,0,0,0,416,56,472,"2,070","2,070"
01/2004,ALW ,ANM,WA,WE,Federal Contract Tower,0,113,69,0,182,0,0,0,0,0,0,46,241,2,289,0,0,0,0,0,520,0,520,991,991
01/2004,AMA ,ASW,TX,WE,Towers with Radar,843,993,993,"1,760","4,589",0,0,0,0,0,0,20,805,"1,306","2,131",0,0,0,0,0,415,"4,625","5,040","11,760","11,760"
01/2004,ANC ,AAL,AK,WE,Towers with Radar,"8,805","4,229",894,181,"14,109",11,7,38,492,548,6,625,"1,722",316,"2,669",0,7,14,3,24,266,0,266,"17,044","17,616"
01/2004,ANE ,AGL,MN,CE,Federal Contract Tower,0,154,627,0,781,0,0,0,0,0,0,76,"2,521",42,"2,639",0,0,0,0,0,"2,728",4,"2,732","6,152","6,152"
01/2004,APA ,ANM,CO,WE,Towers with Display (VFR),0,"2,497","3,535",85,"6,117",0,0,0,0,0,0,"1,436","7,203",45,"8,684",0,0,0,0,0,"13,818",56,"13,874","28,675","28,675"
01/2004,APC ,AWP,CA,WE,Towers with Display (VFR),0,159,896,2,"1,057",0,0,0,0,0,0,60,"2,276",16,"2,352",0,0,0,0,0,"3,443",12,"3,455","6,864","6,864"
01/2004,APF ,ASO,FL,ES,Federal Contract Tower,0,"1,266","3,348",1,"4,615",0,0,0,0,0,0,102,"4,638",29,"4,769",0,0,0,0,0,"2,020",0,"2,020","11,404","11,404"
01/2004,ARA ,ASW,LA,CE,Federal Contract Tower,0,102,93,326,521,0,0,0,0,0,0,"1,108",402,91,"1,601",0,0,0,0,0,"2,820",172,"2,992","5,114","5,114"
01/2004,ARB ,AGL,MI,CE,Towers with Display (VFR),0,8,231,0,239,0,0,0,0,0,0,121,"1,011",0,"1,132",0,0,0,0,0,"1,988",0,"1,988","3,359","3,359"
01/2004,ARR ,AGL,IL,CE,Towers with Display (VFR),0,19,535,9,563,0,0,0,0,0,0,19,"2,084",16,"2,119",0,0,0,0,0,"3,403",2,"3,405","6,087","6,087"
01/2004,ASE ,ANM,CO,WE,Towers with Radar,692,802,"1,384",0,"2,878",0,0,0,0,0,91,110,576,2,779,0,0,0,0,0,56,0,56,"3,713","3,713"
01/2004,ASG ,ASW,AR,CE,Federal Contract Tower,0,168,666,0,834,0,0,0,0,0,0,105,"1,347",2,"1,454",0,0,0,0,0,"2,172",0,"2,172","4,460","4,460"
01/2004,ASH ,ANE,NH,EN,Federal Contract Tower,0,17,398,0,415,0,0,0,0,0,0,26,"1,927",1,"1,954",0,0,0,0,0,"2,729",0,"2,729","5,098","5,098"
01/2004,ATL ,ASO,GA,ES,Combined TRACON & Tower with Radar,0,0,0,0,0,0,0,0,0,0,"56,685","21,299",957,93,"79,034",0,0,0,0,0,0,0,0,"79,034","79,034"
01/2004,ATW ,AGL,WI,CE,Federal Contract Tower,362,"1,347",560,0,"2,269",0,0,0,0,0,27,53,438,0,518,0,0,0,0,0,478,0,478,"3,265","3,265"
01/2004,AUS ,ASW,TX,CE,Towers with Radar,"7,392","1,925","3,208",608,"13,133",0,0,0,0,0,0,117,"2,616",91,"2,824",0,0,0,0,0,520,520,"1,040","16,997","16,997"
01/2004,AVL ,ASO,NC,ES,Towers with Radar,296,"1,090",935,72,"2,393",0,0,0,0,0,30,91,789,50,960,0,0,0,0,0,915,142,"1,057","4,410","4,410"
01/2004,AVP ,AEA,PA,EN,Towers with Radar,831,"1,015",594,38,"2,478",0,0,0,0,0,0,38,639,33,710,0,0,0,0,0,"1,289",6,"1,295","4,483","4,483"
01/2004,AZO ,AGL,MI,CE,Towers with Radar,152,"1,118",792,0,"2,062",0,0,0,0,0,32,163,933,14,"1,142",0,0,0,0,0,"1,327",0,"1,327","4,531","4,531"
01/2004,BAF ,ANE,MA,EN,Federal Contract Tower,0,29,238,41,308,0,0,0,0,0,0,17,705,200,922,0,0,0,0,0,764,148,912,"2,142","2,142"
01/2004,BAK ,AGL,IN,CE,Federal Contract Tower,0,45,336,8,389,0,0,0,0,0,5,24,794,75,898,0,0,0,0,0,506,24,530,"1,817","1,817"
01/2004,BCT ,ASO,FL,ES,Federal Contract Tower,0,836,"1,341",0,"2,177",0,0,0,0,0,0,141,"2,004",2,"2,147",0,0,0,0,0,"3,254",12,"3,266","7,590","7,590"
01/2004,BDL ,ANE,CT,EN,Combined TRACON & Tower with Radar,"4,892","2,759","1,131",114,"8,896",0,0,0,0,0,267,230,536,109,"1,142",0,0,0,0,0,323,73,396,"10,434","10,434"
01/2004,BDR ,ANE,CT,EN,Federal Contract Tower,0,104,478,13,595,0,0,0,0,0,0,38,941,41,"1,020",0,0,0,0,0,"1,618",4,"1,622","3,237","3,237"
01/2004,BED ,ANE,MA,EN,Towers with Radar,53,"1,351","2,200",32,"3,636",0,0,0,0,0,0,250,"3,067",11,"3,328",0,0,0,0,0,"2,806",0,"2,806","9,770","9,770"
01/2004,BET ,AAL,AK,WE,Federal Contract Tower,223,415,3,1,642,0,0,0,0,0,58,"5,599",112,7,"5,776",0,0,0,0,0,159,0,159,"6,577","6,577"
01/2004,BFI ,ANM,WA,WE,Towers with Display (VFR),644,"2,679","2,457",39,"5,819",0,0,0,0,0,81,"1,692","6,024",49,"7,846",0,0,0,0,0,"6,980",14,"6,994","20,659","20,659"
01/2004,BFL ,AWP,CA,WE,Towers with Radar,23,"1,485","2,072",31,"3,611",0,0,0,0,0,18,598,"1,540",48,"2,204",0,0,0,0,0,"2,734",29,"2,763","8,578","8,578"
01/2004,BFM ,ASO,AL,CE,Federal Contract Tower,138,338,751,205,"1,432",0,0,0,0,0,35,135,"1,041",700,"1,911",0,0,0,0,0,408,"2,218","2,626","5,969","5,969"
01/2004,BGM ,AEA,NY,EN,Towers with Radar,0,"1,729",560,51,"2,340",0,0,0,0,0,0,1,144,3,148,0,0,0,0,0,156,5,161,"2,649","2,649"
01/2004,BGR ,ANE,ME,EN,Towers with Radar,165,"1,458",594,594,"2,811",0,0,0,0,0,35,158,307,127,627,0,0,0,0,0,533,"1,010","1,543","4,981","4,981"
01/2004,BHM ,ASO,AL,ES,Towers with Radar,"2,537","3,185","3,127",325,"9,174",0,0,0,0,0,190,171,"1,260",150,"1,771",0,0,0,0,0,391,250,641,"11,586","11,586"
01/2004,BIL ,ANM,MT,WE,Towers with Radar,"1,104","2,274",812,0,"4,190",0,0,0,0,0,94,422,"1,085",18,"1,619",0,0,0,0,0,904,22,926,"6,735","6,735"
01/2004,BIS ,AGL,ND,CE,Towers with Radar,249,727,888,91,"1,955",0,0,0,0,0,0,86,496,72,654,0,0,0,0,0,520,153,673,"3,282","3,282"
01/2004,BJC ,ANM,CO,WE,Towers with Display (VFR),0,269,"1,890",1,"2,160",0,0,0,0,0,0,78,"4,592",16,"4,686",0,0,0,0,0,"7,194",20,"7,214","14,060","14,060"
01/2004,BKL ,AGL,OH,CE,Federal Contract Tower,0,728,749,6,"1,483",0,0,0,0,0,2,528,"1,023",6,"1,559",0,0,0,0,0,"1,494",2,"1,496","4,538","4,538"
01/2004,BLI ,ANM,WA,WE,Federal Contract Tower,2,567,356,18,943,0,0,0,0,0,8,445,"1,502",47,"2,002",0,0,0,0,0,"1,103",56,"1,159","4,104","4,104"
01/2004,BMG ,AGL,IN,CE,Federal Contract Tower,0,4,427,1,432,0,0,0,0,0,2,22,706,3,733,0,0,0,0,0,"1,066",10,"1,076","2,241","2,241"
01/2004,BMI ,AGL,IL,CE,Federal Contract Tower,148,814,430,1,"1,393",0,0,0,0,0,20,62,519,12,613,0,0,0,0,0,"1,312",0,"1,312","3,318","3,318"
01/2004,BNA ,ASO,TN,CE,Towers with Radar,"9,127","4,219","3,135",179,"16,660",0,0,0,0,0,401,246,959,92,"1,698",0,0,0,0,0,192,0,192,"18,550","18,550"
01/2004,BOI ,ANM,ID,WE,Towers with Radar,"3,174","1,933","1,587",431,"7,125",0,0,0,0,0,0,186,883,164,"1,233",0,0,0,0,0,"1,646",390,"2,036","10,394","10,394"
01/2004,BOS ,ANE,MA,EN,Combined TRACON & Tower with Radar,"15,695","11,672",817,4,"28,188",0,0,0,0,0,255,528,425,19,"1,227",0,8,632,24,664,36,0,36,"29,451","30,115"
01/2004,BPT ,ASW,TX,CE,Combined TRACON & Tower with Radar,0,548,848,353,"1,749",0,0,0,0,0,0,42,565,32,639,0,0,0,0,0,"1,941",28,"1,969","4,357","4,357"
01/2004,BRO ,ASW,TX,CE,Federal Contract Tower,134,444,640,368,"1,586",0,0,0,0,0,0,0,781,0,781,0,0,0,0,0,248,34,282,"2,649","2,649"
01/2004,BTL ,AGL,MI,CE,Federal Contract Tower,0,50,910,148,"1,108",0,0,0,0,0,0,32,"1,487",179,"1,698",0,0,0,0,0,"2,028",102,"2,130","4,936","4,936"
01/2004,BTR ,ASW,LA,CE,Towers with Radar,125,795,950,73,"1,943",0,0,0,0,0,0,0,705,10,715,0,0,0,0,0,914,74,988,"3,646","3,646"
01/2004,BTV ,ANE,VT,EN,Towers with Radar,370,"2,713",580,110,"3,773",0,0,0,0,0,24,136,628,115,903,0,0,0,0,0,"1,162",234,"1,396","6,072","6,072"
01/2004,BUF ,AEA,NY,CE,Towers with Radar,"3,910","3,794","1,260",120,"9,084",0,0,0,0,0,2,7,94,4,107,0,0,0,0,0,694,155,849,"10,040","10,040"
01/2004,BUR ,AWP,CA,WE,Combined TRACON & Tower with Radar,"4,551","1,688","3,036",7,"9,282",0,0,0,0,0,225,553,"1,653",30,"2,461",0,14,"6,396",2,"6,412","1,547",0,"1,547","13,290","19,702"
01/2004,BVY ,ANE,MA,EN,Federal Contract Tower,0,33,172,1,206,0,0,0,0,0,0,16,"1,409",8,"1,433",0,0,0,0,0,"1,362",2,"1,364","3,003","3,003"
01/2004,BWI ,AEA,MD,EN,Towers with Radar,"17,333","3,959","1,673",86,"23,051",0,0,231,3,234,0,0,744,2,746,0,0,692,48,740,275,10,285,"24,082","25,056"
01/2004,BZN ,ANM,MT,WE,Federal Contract Tower,420,900,288,1,"1,609",0,0,0,0,0,33,68,751,28,880,0,0,0,0,0,"1,826",0,"1,826","4,315","4,315"
01/2004,CAE ,ASO,SC,ES,Towers with Radar,665,"4,054","1,338",90,"6,147",0,0,0,0,0,131,207,"1,086",69,"1,493",0,0,0,0,0,"1,329",168,"1,497","9,137","9,137"
01/2004,CAK ,AGL,OH,CE,Towers with Radar,776,"1,866","1,730",415,"4,787",0,0,0,0,0,115,310,985,283,"1,693",0,0,0,0,0,679,81,760,"7,240","7,240"
01/2004,CCR ,AWP,CA,WE,Towers with Display (VFR),0,140,"1,048",0,"1,188",0,0,0,0,0,0,157,"2,662",3,"2,822",0,0,0,0,0,"2,783",0,"2,783","6,793","6,793"
01/2004,CDW ,AEA,NJ,EN,Towers with Radar,0,0,373,0,373,0,0,0,0,0,0,0,"3,053",0,"3,053",0,0,0,0,0,"2,065",0,"2,065","5,491","5,491"
01/2004,CGF ,AGL,OH,CE,Federal Contract Tower,0,348,678,0,"1,026",0,0,0,0,0,0,123,566,0,689,0,0,0,0,0,310,0,310,"2,025","2,025"
01/2004,CHA ,ASO,TN,ES,Towers with Radar,316,"1,353","1,740",442,"3,851",0,0,0,0,0,36,124,"1,038",219,"1,417",0,0,0,0,0,989,372,"1,361","6,629","6,629"
01/2004,CHD ,AWP,AZ,WE,Federal Contract Tower,0,11,122,0,133,0,0,0,0,0,0,171,"5,612",2,"5,785",0,0,0,0,0,"14,370",0,"14,370","20,288","20,288"
01/2004,CHO ,AEA,VA,EN,Federal Contract Tower,6,"1,801",627,82,"2,516",0,0,0,0,0,0,4,"1,216",26,"1,246",0,0,0,0,0,"1,014",108,"1,122","4,884","4,884"
01/2004,CHS ,ASO,SC,ES,Towers with Radar,635,"2,919","1,448","1,526","6,528",0,0,0,0,0,45,199,979,102,"1,325",0,0,0,0,0,459,"1,663","2,122","9,975","9,975"
01/2004,CIC ,AWP,CA,WE,Federal Contract Tower,0,263,307,5,575,0,0,0,0,0,2,198,"1,424",38,"1,662",0,0,0,0,0,488,82,570,"2,807","2,807"
01/2004,CID ,ACE,IA,CE,Combined TRACON & Tower with Radar,563,"2,355",904,1,"3,823",0,0,0,0,0,0,11,561,0,572,0,0,0,0,0,393,0,393,"4,788","4,788"
01/2004,CKB ,AEA,WV,CE,Towers with Radar,2,261,282,95,640,0,0,0,0,0,0,25,622,245,892,0,0,0,0,0,950,666,"1,616","3,148","3,148"
01/2004,CLE ,AGL,OH,CE,Towers with Radar,"6,105","12,931",752,2,"19,790",0,0,0,0,0,389,436,177,7,"1,009",0,0,0,0,0,0,0,0,"20,799","20,799"
01/2004,CLL ,ASW,TX,CE,Federal Contract Tower,6,545,599,412,"1,562",0,0,0,0,0,0,0,"1,074",277,"1,351",0,0,0,0,0,782,786,"1,568","4,481","4,481"
01/2004,CLT ,ASO,NC,ES,Towers with Radar,"17,002","15,458","2,133",54,"34,647",0,0,0,0,0,858,355,"1,047",48,"2,308",0,0,0,0,0,0,0,0,"36,955","36,955"
01/2004,CMA ,AWP,CA,WE,Towers with Display (VFR),0,112,"1,166",0,"1,278",0,0,0,0,0,0,65,"7,003",7,"7,075",0,0,0,0,0,"6,119",8,"6,127","14,480","14,480"
01/2004,CMH ,AGL,OH,CE,Towers with Radar,"2,920","9,253","1,804",40,"14,017",0,0,0,0,0,301,424,"2,864",27,"3,616",0,0,0,0,0,287,0,287,"17,920","17,920"
01/2004,CMI ,AGL,IL,CE,Towers with Radar,5,713,657,0,"1,375",0,0,0,0,0,15,96,812,3,926,0,0,0,0,0,"2,105",0,"2,105","4,406","4,406"
01/2004,CNO ,AWP,CA,WE,Towers with Display (VFR),0,0,"1,853",0,"1,853",0,0,0,0,0,0,1,"4,055",5,"4,061",0,0,0,0,0,"5,335",0,"5,335","11,249","11,249"
01/2004,CNW ,ASW,TX,CE,Federal Contract Tower,22,0,189,533,744,0,0,0,0,0,2,40,879,106,"1,027",0,0,0,0,0,"2,066","1,770","3,836","5,607","5,607"
01/2004,COS ,ANM,CO,WE,Towers with Radar,"1,416","2,236",956,895,"5,503",0,0,0,0,0,83,107,"2,734",378,"3,302",0,0,0,0,0,"4,280",741,"5,021","13,826","13,826"
01/2004,COU ,ACE,MO,CE,Federal Contract Tower,10,198,460,8,676,0,0,0,0,0,17,58,673,31,779,0,0,0,0,0,582,66,648,"2,103","2,103"
01/2004,CPR ,ANM,WY,WE,Towers with Radar,39,"1,222",516,5,"1,782",0,0,0,0,0,5,158,585,34,782,0,0,0,0,0,633,32,665,"3,229","3,229"
01/2004,CPS ,AGL,IL,CE,Towers with Display (VFR),0,527,"1,027",3,"1,557",0,0,0,0,0,0,118,"3,087",13,"3,218",0,0,0,0,0,"6,614",0,"6,614","11,389","11,389"
01/2004,CRE ,ASO,SC,ES,Federal Contract Tower,0,2,557,2,561,0,0,0,0,0,0,24,855,47,926,0,0,0,0,0,342,4,346,"1,833","1,833"
01/2004,CRG ,ASO,FL,ES,Federal Contract Tower,0,373,"1,818",6,"2,197",0,0,0,0,0,0,122,"5,631","1,022","6,775",0,0,0,0,0,"6,145",66,"6,211","15,183","15,183"
01/2004,CRP ,ASW,TX,CE,Towers with Radar,389,"1,275","1,269",635,"3,568",0,0,0,0,0,1,75,693,10,779,0,0,0,0,0,606,"3,625","4,231","8,578","8,578"
01/2004,CRQ ,AWP,CA,WE,Towers with Display (VFR),0,876,"3,322",53,"4,251",0,0,0,0,0,0,312,"7,523",123,"7,958",0,0,0,0,0,"5,017",2,"5,019","17,228","17,228"
01/2004,CRW ,AEA,WV,CE,Towers with Radar,2,"2,677",859,239,"3,777",0,0,0,0,0,0,404,574,121,"1,099",0,0,0,0,0,880,242,"1,122","5,998","5,998"
01/2004,CSG ,ASO,GA,ES,Combined TRACON & Tower with Radar,251,12,"1,155",13,"1,431",0,0,0,0,0,29,23,929,51,"1,032",0,0,0,0,0,"1,440",28,"1,468","3,931","3,931"
01/2004,CVG ,ASO,KY,CE,Towers with Radar,"14,116","26,389",528,4,"41,037",0,0,0,0,0,323,455,29,7,814,0,0,0,0,0,0,0,0,"41,851","41,851"
01/2004,CWA ,AGL,WI,CE,Federal Contract Tower,1,"1,413",152,3,"1,569",0,0,0,0,0,5,50,234,15,304,0,0,0,0,0,264,2,266,"2,139","2,139"
01/2004,CWF ,ASW,LA,CE,Federal Contract Tower,55,166,350,949,"1,520",0,0,0,0,0,3,78,"1,863",272,"2,216",0,0,0,0,0,243,888,"1,131","4,867","4,867"
01/2004,CXY ,AEA,PA,EN,Federal Contract Tower,0,26,462,14,502,0,0,0,0,0,0,0,944,23,967,0,0,0,0,0,"1,460",52,"1,512","2,981","2,981"
01/2004,CYS ,ANM,WY,WE,Federal Contract Tower,0,54,117,56,227,0,0,0,0,0,3,646,"1,066",129,"1,844",0,0,0,0,0,978,"1,093","2,071","4,142","4,142"
01/2004,DAB ,ASO,FL,ES,Towers with Radar,310,363,"4,991",17,"5,681",0,0,0,0,0,59,89,"17,142",26,"17,316",0,0,0,0,0,"4,499",0,"4,499","27,496","27,496"
01/2004,DAL ,ASW,TX,CE,Combined TRACON & Tower with Radar,"7,037","3,474","5,669",83,"16,263",2,140,605,0,747,0,116,"3,456",39,"3,611",2,70,"3,238",0,"3,310",0,0,0,"19,874","23,931"
01/2004,DAY ,AGL,OH,CE,Towers with Radar,"1,835","4,289","1,228",47,"7,399",0,0,0,0,0,150,508,396,41,"1,095",0,0,0,0,0,233,0,233,"8,727","8,727"
01/2004,DBQ ,ACE,IA,CE,Federal Contract Tower,1,230,335,0,566,0,0,0,0,0,1,39,"1,445",2,"1,487",0,0,0,0,0,"1,734",0,"1,734","3,787","3,787"
01/2004,DCA ,AEA,DC,EN,Towers with Radar,"12,025","9,080",207,10,"21,322",0,0,0,0,0,0,0,96,2,98,0,0,"1,699","3,133","4,832",0,0,0,"21,420","26,252"
01/2004,DEC ,AGL,IL,CE,Federal Contract Tower,0,205,459,36,700,0,0,0,0,0,1,28,862,82,973,0,0,0,0,0,"1,630",29,"1,659","3,332","3,332"
01/2004,DEN ,ANM,CO,WE,Combined TRACON & Tower with Radar,"26,822","17,191",604,33,"44,650",7,90,163,20,280,249,433,260,24,966,2,37,179,0,218,0,0,0,"45,616","46,114"
01/2004,DET ,AGL,MI,CE,Federal Contract Tower,3,374,936,4,"1,317",0,0,0,0,0,16,84,"2,000",106,"2,206",0,0,0,0,0,"1,624",0,"1,624","5,147","5,147"
01/2004,DFW ,ASW,TX,CE,Combined TRACON & Tower with Radar,"44,109","22,714",491,5,"67,319",0,0,0,0,0,11,0,0,31,42,0,0,0,0,0,"1,054",10,"1,064","68,425","68,425"
01/2004,DHN ,ASO,AL,ES,Federal Contract Tower,193,121,835,859,"2,008",0,0,0,0,0,54,25,777,794,"1,650",0,0,0,0,0,"1,235","1,640","2,875","6,533","6,533"
01/2004,DLH ,AGL,MN,CE,Combined TRACON & Tower with Radar,351,348,888,126,"1,713",0,0,0,0,0,13,48,"1,240",37,"1,338",0,0,0,0,0,"1,050",156,"1,206","4,257","4,257"
01/2004,DPA ,AGL,IL,CE,Towers with Display (VFR),2,368,"1,808",0,"2,178",0,0,0,0,0,8,151,"3,907",2,"4,068",0,0,0,0,0,"4,467",0,"4,467","10,713","10,713"
01/2004,DSM ,ACE,IA,CE,Towers with Radar,"2,086","2,863","1,757",154,"6,860",0,0,0,0,0,145,232,805,108,"1,290",0,0,0,0,0,266,258,524,"8,674","8,674"
01/2004,DTN ,ASW,LA,CE,Federal Contract Tower,0,5,412,4,421,0,0,0,0,0,0,20,"1,038",56,"1,114",0,0,0,0,0,"1,683",388,"2,071","3,606","3,606"
01/2004,DTW ,AGL,MI,CE,Combined TRACON & Tower with Radar,"24,859","13,906","1,092",2,"39,859",0,0,0,0,0,328,327,226,11,892,0,0,0,0,0,0,0,0,"40,751","40,751"
01/2004,DVT ,AWP,AZ,WE,Towers with Radar,0,179,543,0,722,0,0,0,0,0,0,176,"12,190",1,"12,367",0,0,0,0,0,"18,067",0,"18,067","31,156","31,156"
01/2004,DWH ,ASW,TX,CE,Towers with Display (VFR),0,63,937,95,"1,095",0,0,0,0,0,0,92,"4,449",49,"4,590",0,0,0,0,0,"8,086",40,"8,126","13,811","13,811"
01/2004,DXR ,ANE,CT,EN,Federal Contract Tower,0,0,202,0,202,0,0,0,0,0,0,2,"1,738",0,"1,740",0,0,0,0,0,"1,522",0,"1,522","3,464","3,464"
01/2004,EGE ,ANM,CO,WE,Federal Contract Tower,775,501,"1,253",4,"2,533",0,0,0,0,0,143,93,523,181,940,0,0,0,0,0,395,251,646,"4,119","4,119"
01/2004,EKO ,AWP,NV,WE,Federal Contract Tower,61,603,132,0,796,0,0,0,0,0,13,151,263,24,451,0,0,0,0,0,526,0,526,"1,773","1,773"
01/2004,ELM ,AEA,NY,EN,Combined TRACON & Tower with Radar,0,"1,201",481,9,"1,691",0,0,0,0,0,0,3,158,2,163,0,0,0,0,0,634,6,640,"2,494","2,494"
01/2004,ELP ,ASW,TX,WE,Towers with Radar,"3,595","1,533","1,175",392,"6,695",0,0,0,0,0,0,206,"1,845",123,"2,174",0,0,0,0,0,322,378,700,"9,569","9,569"
01/2004,EMT ,AWP,CA,WE,Towers with Display (VFR),0,97,411,0,508,0,0,0,0,0,0,98,"6,313",11,"6,422",0,0,0,0,0,"5,671",0,"5,671","12,601","12,601"
01/2004,ENA ,AAL,AK,WE,Federal Contract Tower,2,461,78,6,547,0,0,0,0,0,22,661,465,51,"1,199",0,0,0,0,0,786,330,"1,116","2,862","2,862"
